"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-02,""198"",""1"",""5"",""12:40:33"",""12:42:13"",""100"""
"2023-06-02,""199"",""1"",""3"",""12:41:38"",""12:43:28"",""110"""
"2023-06-02,""200"",""1"",""5"",""12:42:03"",""12:43:39"",""96"""
"2023-06-02,""201"",""1"",""5"",""12:42:13"",""12:44:15"",""122"""
"2023-06-02,""202"",""1"",""3"",""12:44:03"",""12:45:12"",""69"""
"2023-06-02,""203"",""1"",""4"",""12:44:55"",""12:47:34"",""159"""
"2023-06-02,""204"",""1"",""4"",""12:45:59"",""12:49:15"",""196"""
"2023-06-02,""205"",""1"",""3"",""12:46:58"",""12:49:45"",""167"""
"2023-06-02,""206"",""1"",""5"",""12:53:36"",""12:56:56"",""200"""
"2023-06-02,""207"",""1"",""4"",""12:53:57"",""12:57:17"",""200"""
"2023-06-02,""208"",""1"",""5"",""12:54:13"",""12:58:12"",""239"""
"2023-06-02,""209"",""1"",""5"",""12:54:53"",""12:58:54"",""241"""
"2023-06-02,""210"",""1"",""2"",""12:56:49"",""12:59:15"",""146"""
"2023-06-02,""211"",""1"",""2"",""12:57:58"",""13:00:03"",""125"""
"2023-06-02,""212"",""1"",""2"",""12:58:16"",""13:01:23"",""187"""
"2023-06-02,""213"",""1"",""3"",""13:00:07"",""13:02:36"",""149"""
"2023-06-02,""214"",""1"",""2"",""13:01:20"",""13:03:05"",""105"""
"2023-06-02,""215"",""1"",""4"",""13:05:49"",""13:07:49"",""120"""
"2023-06-02,""216"",""1"",""5"",""13:06:52"",""13:08:26"",""94"""
"2023-06-02,""217"",""1"",""4"",""13:07:48"",""13:09:09"",""81"""
"2023-06-02,""218"",""1"",""5"",""13:09:28"",""13:12:31"",""183"""
"2023-06-02,""219"",""1"",""3"",""13:10:25"",""13:13:28"",""183"""
"2023-06-02,""220"",""1"",""5"",""13:11:28"",""13:13:59"",""151"""
"2023-06-02,""221"",""1"",""5"",""13:13:13"",""13:14:37"",""84"""
"2023-06-02,""222"",""1"",""4"",""13:16:16"",""13:18:54"",""158"""
"2023-06-02,""223"",""1"",""4"",""13:19:07"",""13:20:28"",""81"""
"2023-06-02,""224"",""1"",""5"",""13:22:27"",""13:23:10"",""43"""
"2023-06-02,""225"",""1"",""4"",""13:23:44"",""13:24:50"",""66"""
"2023-06-02,""226"",""1"",""4"",""13:25:06"",""13:27:32"",""146"""
"2023-06-02,""227"",""1"",""3"",""13:25:25"",""13:27:43"",""138"""
